Fiscal_Year,Service,Department,Project,Project_id,Fund,Fund_Type,Thru_FY_Actuals,FY_Approved
2016,Seattle Department of Transportation,Major Maintenance/Replacement,Accela Permitting System,TC367730,Transportation Operating Fund,Not Applicable,0,5544442
2016,Seattle Public Utilities,Shared Cost Projects,Operational Facility - Construction - SWF,C4106-SWF,Solid Waste Fund,Not Applicable,0,310000
2016,Seattle Public Utilities,Technology,Enterprise Information Management,C5403,Water Fund,Not Applicable,0,510000
2016,Seattle Public Utilities,Rehabilitation and Heavy Equipment,Midway Landfill,C2403,Solid Waste Fund,Not Applicable,0,415000
2016,Department of Parks and Recreation,Ballfields/Athletic Courts/Play Areas,Garfield Playfield Infield Synthetic Turf Resurfacing,K732489,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Aquarium Expansion,K732492,Central Waterfront Improvement Fund,Not Applicable,0,0
2016,Seattle Center,Public Gathering Space Improvements,Public Gathering Space Improvements,S9902,Seattle Center Capital Reserve Subfund,Not Applicable,0,0
2016,Finance and Administrative Services,Neighborhood Fire Stations,Fire Station 32,A1FL132,2008 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Docks/Piers/Floats/Seawalls/Shorelines,Boat Moorage Restoration,K732408,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,0
2016,Seattle Public Utilities,Water Resources,Water System Plan - 2019,C1510,Water Fund,Not Applicable,0,0
2016,Seattle City Light,C4 Distribution - Service Connections,Network Additions and Services: Broad Street Substation,8363,City Light Fund,Not Applicable,0,5889000
2016,Department of Parks and Recreation,Debt and Special Funding,Gas Works Park - Remediation,K73582,To Be Determined,Not Applicable,0,0
2016,Department of Parks and Recreation,SR520 Mitigation,Arboretum Waterfront Trail Renovation,K732484,Park Mitigation and Remediation Fund,Not Applicable,0,0
2016,Seattle Public Utilities,Shared Cost Projects,Yesler Terrace-WF,C4136-WF,Water Fund,Not Applicable,0,0
2016,Department of Parks and Recreation,Citywide and Neighborhood Projects,Park Acquisition and Development,K732497,Cumulative Reserve Subfund - Real Estate Excise Tax I Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Sound Transit North Link Station Bike and Pedestrian Improvements,TC367350,Cumulative Reserve Subfund - Street Vacation Subaccount,Not Applicable,0,1016060
2016,Seattle Department of Transportation,Major Projects,Elliott Bay Seawall Project,TC367320,2016 Multipurpose LTGO Bond Fund,Not Applicable,0,33413000
2016,Seattle Public Utilities,Distribution,Water Infrastructure - Service Renewal,C1109,Water Fund,Not Applicable,0,7610000.0000000102
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Georgetown Steamplant Access Road,9233,City Light Fund,Not Applicable,0,12000
2016,Seattle Public Utilities,Shared Cost Projects,Meter Replacement - DWF,C4101-DWF,Drainage and Wastewater Fund,Not Applicable,0,504019.20000000001
2016,Seattle Center,KeyArena,KeyArena Improvements & Repairs,S9901,KeyArena Settlement Proceeds Fund,Not Applicable,0,0
2016,Seattle City Light,C3 Distribution - Radial,Overhead System Capacity Additions,8356,City Light Fund,Not Applicable,0,2515000
2016,Seattle Center,Facility Infrastructure Renovation and Repair,Roof/Structural Replacement and Repair,S9701,Cumulative Reserve Subfund - Unrestricted Subaccount,Not Applicable,0,0
2016,Seattle Department of Transportation,Major Maintenance/Replacement,South Park Bridge,TC365780,2014 Multipurpose LTGO Bond Fund,Not Applicable,0,0
2016,Finance and Administrative Services,Public Safety Facilities - Fire,Fire Station 5 Relocation,A1PS206,Finance and Administrative Services Fund,Not Applicable,0,0
2016,Seattle Department of Transportation,Mobility-Capital,Pedestrian Master Plan Implementation,TC367150,Cumulative Reserve Subfund - Real Estate Excise Tax II Subaccount,Not Applicable,0,49000
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Facilities Regulatory Compliance,9151,City Light Fund,Not Applicable,0,381000
2016,Seattle City Light,E3 Central Utility Projects - Fleets and Facilities,Energy Conservation,9320,City Light Fund,Not Applicable,0,954000
2016,Seattle City Light,A2 Power Supply - Skagit,Gorge Powerhouse - Fire Protection Improvements,6326,City Light Fund,Not Applicable,0,87000
